Taxon ID,Genome ID,Genome Name,Antibiotic,Resistant Phenotype,Measurement,Measurement Sign,Measurement Value,Measurement Unit,Laboratory Typing Method,Laboratory Typing Method Version,Laboratory Typing Platform,Vendor,Testing Standard,Testing Standard Year,Computational Method,Computational Method Version,Computational Method Performance,Evidence,Source,PubMed
573,"573.67310","Klebsiella pneumoniae ERR7221309","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.33402","Klebsiella pneumoniae strain PMK19","meropenem","Resistant",,,,,"Broth dilution",,,"BD","EUCAST",,,,,"Laboratory Method",,"25267672"
1438719,"1438719.3","Klebsiella pneumoniae CHS 13","meropenem","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
573,"573.14502","Klebsiella pneumoniae KPN930ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.14085","Klebsiella pneumoniae KPN361ec","meropenem","Resistant",">8",">","8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.66116","Klebsiella pneumoniae ERR1815069","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.29940","Klebsiella pneumoniae strain Kpngiani7132506","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.29872","Klebsiella pneumoniae strain Kpngiani7132566","meropenem","Resistant","128",,"128","mg/L","Broth dilution",,,"Merlin Diagnostika","EUCAST",2020,,,,"Laboratory Method",,"33188415"
573,"573.24440","Klebsiella pneumoniae strain MUGSI_80","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.24340","Klebsiella pneumoniae strain MUGSI_122","meropenem","Resistant","8",">","8","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.24260","Klebsiella pneumoniae strain 2","meropenem","Resistant","4","=","4","mg/L","Broth dilution",,,,"CLSI",,,,,"Laboratory Method",,
573,"573.66139","Klebsiella pneumoniae ERR1840996","meropenem","Resistant",,,,,"Broth dilution",,"VITEK 2","BioMerieux","EUCAST",2016,,,,"Laboratory Method",,"36916881"
573,"573.13364","Klebsiella pneumoniae KPN1423ec","meropenem","Resistant","8",,"8","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
573,"573.13861","Klebsiella pneumoniae KPN2035ec","meropenem","Resistant","4",,"4","mg/L","Broth dilution",,"BD Phoenix",,"CLSI",2017,,,,"Laboratory Method",,"28512093;28776045"
1438722,"1438722.3","Klebsiella pneumoniae CHS 16","meropenem","Resistant",,,,,"Broth dilution",,,,,,,,,"Laboratory Method",,
